Protein stable ID	Gene name
	MIR4723
	RF00019
	RF02116
	MIR6085
	RNU6-1328P
	RNU6-581P
	MIR759
	RF00019
	RN7SL413P
	RN7SL813P
	MIR4295
	MIR1307
	AC171558.4
	MIR181B1
	RF00019
	RNA5SP333
	RF01210
	RF00019
	RN7SKP210
	RF02220
	RF00019
	RN7SL583P
	MIR1273D
	RF00019
	RF00072
	RF02198
	RF02275
	RF00019
	RNA5-8SP5
	RNU6-287P
	SNORD116-10
	RNU2-22P
	RF00019
	RN7SL818P
	RN7SKP129
ENSP00000481011	ARHGAP11A
ENSP00000479117	ARHGAP11A
ENSP00000480085	ARHGAP11A
	RNVU1-1
	RN7SKP36
	RNU1-6P
	RNA5SP490
	RN7SL242P
	RNU6-896P
ENSP00000478066	AC011295.1
	RN7SKP141
ENSP00000482551	NLRP7
ENSP00000481809	NLRP7
	RF00003
ENSP00000483175	AP006285.3
	RNU6-327P
	RNU7-186P
	RN7SL444P
	RF00019
	RF00564
	RNU6-1137P
	RNU6-353P
	SNORD114-7
	RNU4-22P
	RF00019
	RN7SL487P
	RNU6-1102P
	RF00493
	RN7SKP205
	RNU6-1242P
	RNU5B-2P
	RN7SL162P
	SNORD115-22
	RNU6-50P
	RF02150
	RNU6-319P
	RF00003
	RF02124
	RF00019
	RN7SL692P
	SNORD14B
	RNU6-12P
	MIR548AZ
	RNU6-1086P
	RF02271
	RN7SL121P
	RF00019
	MIR3926-1
ENSP00000487370	SURF2
	SURF2
	SURF2
	MIR4659B
	RF00019
	MIR5692C2
	RF02174
	RNU6-1211P
ENSP00000478389	GSTT2B
	RF00402
	RNA5SP450
	RNA5-8SN5
	SNORA80D
	RF00012
	RNU4ATAC7P
	MIR425
	RF00019
	SNORA70H
	RF00019
	RF02246
	RF00026
	RN7SL359P
	RNA5SP427
	MIR4749
	RF00012
	RF00612
	RN7SL93P
	RF00019
	RNU4ATAC5P
	MIR3942
	RN7SKP244
	RN7SL870P
	MIR203B
	RNU6-1258P
	RF00019
ENSP00000484387	CRHR1
ENSP00000479052	CRHR1
ENSP00000477786	CRHR1
ENSP00000480752	CRHR1
ENSP00000484097	CRHR1
ENSP00000478408	CRHR1
	RNA5SP510
	RF02109
	RF00003
	RF00019
	RN7SL577P
	RNU6-457P
	AL117190.3
	RF00019
	RNA5SP158
	RNU6-1071P
	RNU7-74P
	RNU6-494P
	RNU6-1308P
ENSP00000483436	TSEN34
ENSP00000478203	TSEN34
ENSP00000481374	TSEN34
	RF00019
	RNA5SP261
	RF02220
	RNU1-133P
	RF00019
	RNA5SP276
	RF00003
	RNU6-47P
	RN7SKP128
	RNU6-1117P
	RF00340
	RF00017
	RNU2-17P
	RNU6-1197P
	RNU6-338P
	RN7SL672P
	SNORD9
	RPPH1
	RF00573
	RF00019
	RNU6-641P
	RF00398
	MIR5680
	SNORA16A
	RNU7-8P
	RNU6-337P
	RF00066
	RN7SL468P
	MIR6134
	RNU7-115P
	RNU6-630P
	RF01883
	MIR6842
	SNORD38A
	MIR2278
