Gene	Module	kME
51	P1_I1_M1	0.86
108	P1_I1_M1	0.92
367	P1_I1_M2	0.81
412	P1_I1_M2	0.88
611	P1_I1_M1	0.82
1012	P1_I1_M1	0.91
1277	P1_I1_M1	0.93
2354	P1_I1_M1	0.91
3139	P1_I1_M2	0.92
4033	P1_I1_M2	0.8
4062	P1_I1_M1	0.95
4107	P1_I1_M2	0.86
4847	P1_I1_M1	0.87
5156	P1_I1_M2	0.86
5212	P1_I1_M1	0.86
5250	P1_I1_M2	0.81
5359	P1_I1_M1	0.86
5867	P1_I1_M2	0.86
6376	P1_I1_M1	0.88
6695	P1_I1_M2	0.83
6710	P1_I1_M2	0.88
6903	P1_I1_M1	0.86
7529	P1_I1_M1	0.87
8066	P1_I1_M1	0.88
8148	P1_I1_M2	0.88
8844	P1_I1_M2	0.91
9259	P1_I1_M1	0.88
9449	P1_I1_M2	0.84
9539	P1_I1_M2	0.83
9783	P1_I1_M2	0.88
9875	P1_I1_M1	0.79
10029	P1_I1_M2	0.86
11604	P1_I1_M1	0.84
12413	P1_I1_M1	0.82
12726	P1_I1_M1	0.9
12940	P1_I1_M2	0.88
13051	P1_I1_M1	0.78
13660	P1_I1_M2	0.83
14289	P1_I1_M1	0.9
15619	P1_I1_M2	0.83
16359	P1_I1_M2	0.86
17080	P1_I1_M1	0.84
17216	P1_I1_M2	0.89
18466	P1_I1_M1	0.83
