Gene	Module	kME
0	UNCLASSIFIED	NA
1	UNCLASSIFIED	NA
2	UNCLASSIFIED	NA
3	UNCLASSIFIED	NA
4	UNCLASSIFIED	NA
5	UNCLASSIFIED	NA
6	UNCLASSIFIED	NA
7	UNCLASSIFIED	NA
8	UNCLASSIFIED	NA
9	UNCLASSIFIED	NA
10	UNCLASSIFIED	NA
11	UNCLASSIFIED	NA
12	UNCLASSIFIED	NA
13	UNCLASSIFIED	NA
14	UNCLASSIFIED	NA
15	UNCLASSIFIED	NA
16	UNCLASSIFIED	NA
17	UNCLASSIFIED	NA
18	UNCLASSIFIED	NA
19	UNCLASSIFIED	NA
20	UNCLASSIFIED	NA
21	UNCLASSIFIED	NA
22	UNCLASSIFIED	NA
23	UNCLASSIFIED	NA
24	UNCLASSIFIED	NA
25	UNCLASSIFIED	NA
26	UNCLASSIFIED	NA
27	UNCLASSIFIED	NA
28	UNCLASSIFIED	NA
29	UNCLASSIFIED	NA
30	UNCLASSIFIED	NA
31	UNCLASSIFIED	NA
32	UNCLASSIFIED	NA
33	UNCLASSIFIED	NA
34	UNCLASSIFIED	NA
35	UNCLASSIFIED	NA
36	UNCLASSIFIED	NA
37	UNCLASSIFIED	NA
38	UNCLASSIFIED	NA
39	UNCLASSIFIED	NA
40	UNCLASSIFIED	NA
41	UNCLASSIFIED	NA
42	UNCLASSIFIED	NA
43	UNCLASSIFIED	NA
44	UNCLASSIFIED	NA
45	UNCLASSIFIED	NA
46	UNCLASSIFIED	NA
47	UNCLASSIFIED	NA
48	UNCLASSIFIED	NA
49	UNCLASSIFIED	NA
50	UNCLASSIFIED	NA
51	P1_I3_M1	0.86
52	UNCLASSIFIED	NA
53	UNCLASSIFIED	NA
54	UNCLASSIFIED	NA
55	UNCLASSIFIED	NA
56	UNCLASSIFIED	NA
57	UNCLASSIFIED	NA
58	UNCLASSIFIED	NA
59	UNCLASSIFIED	NA
60	UNCLASSIFIED	NA
61	UNCLASSIFIED	NA
62	UNCLASSIFIED	NA
63	UNCLASSIFIED	NA
64	UNCLASSIFIED	NA
65	UNCLASSIFIED	NA
66	UNCLASSIFIED	NA
67	UNCLASSIFIED	NA
68	UNCLASSIFIED	NA
69	UNCLASSIFIED	NA
70	UNCLASSIFIED	NA
71	UNCLASSIFIED	NA
72	UNCLASSIFIED	NA
73	UNCLASSIFIED	NA
74	UNCLASSIFIED	NA
75	UNCLASSIFIED	NA
76	UNCLASSIFIED	NA
77	UNCLASSIFIED	NA
78	UNCLASSIFIED	NA
79	UNCLASSIFIED	NA
80	UNCLASSIFIED	NA
81	UNCLASSIFIED	NA
82	UNCLASSIFIED	NA
83	UNCLASSIFIED	NA
84	UNCLASSIFIED	NA
85	UNCLASSIFIED	NA
86	UNCLASSIFIED	NA
87	UNCLASSIFIED	NA
88	UNCLASSIFIED	NA
89	UNCLASSIFIED	NA
90	UNCLASSIFIED	NA
91	UNCLASSIFIED	NA
92	UNCLASSIFIED	NA
93	UNCLASSIFIED	NA
94	UNCLASSIFIED	NA
95	UNCLASSIFIED	NA
96	UNCLASSIFIED	NA
97	UNCLASSIFIED	NA
98	UNCLASSIFIED	NA
99	UNCLASSIFIED	NA
100	UNCLASSIFIED	NA
101	UNCLASSIFIED	NA
102	UNCLASSIFIED	NA
103	UNCLASSIFIED	NA
104	UNCLASSIFIED	NA
105	UNCLASSIFIED	NA
106	UNCLASSIFIED	NA
107	UNCLASSIFIED	NA
108	P1_I3_M1	0.92
109	UNCLASSIFIED	NA
110	UNCLASSIFIED	NA
111	UNCLASSIFIED	NA
112	UNCLASSIFIED	NA
113	UNCLASSIFIED	NA
114	UNCLASSIFIED	NA
115	UNCLASSIFIED	NA
116	UNCLASSIFIED	NA
117	UNCLASSIFIED	NA
118	UNCLASSIFIED	NA
119	UNCLASSIFIED	NA
120	UNCLASSIFIED	NA
121	UNCLASSIFIED	NA
122	UNCLASSIFIED	NA
123	UNCLASSIFIED	NA
124	UNCLASSIFIED	NA
125	UNCLASSIFIED	NA
126	UNCLASSIFIED	NA
127	UNCLASSIFIED	NA
128	UNCLASSIFIED	NA
129	UNCLASSIFIED	NA
130	UNCLASSIFIED	NA
131	UNCLASSIFIED	NA
132	UNCLASSIFIED	NA
133	UNCLASSIFIED	NA
134	UNCLASSIFIED	NA
135	UNCLASSIFIED	NA
136	UNCLASSIFIED	NA
137	UNCLASSIFIED	NA
138	UNCLASSIFIED	NA
139	UNCLASSIFIED	NA
140	UNCLASSIFIED	NA
141	UNCLASSIFIED	NA
142	UNCLASSIFIED	NA
143	UNCLASSIFIED	NA
144	UNCLASSIFIED	NA
145	UNCLASSIFIED	NA
146	UNCLASSIFIED	NA
147	UNCLASSIFIED	NA
