Gene	Module	kME
108	P1_I1_M1	0.83
115	P1_I1_M4	0.88
468	P1_I1_M3	0.86
474	P1_I1_M1	0.8
607	P1_I1_M3	0.89
611	P1_I1_M1	0.96
864	P1_I1_M3	0.85
1012	P1_I1_M1	0.91
1153	P1_I1_M3	0.88
1156	P1_I1_M3	0.89
1316	P1_I1_M1	0.92
1709	P1_I1_M1	0.91
1800	P1_I1_M1	0.75
1810	P1_I1_M1	0.8
1828	P1_I1_M1	0.95
1981	P1_I1_M5	1.0
1982	P1_I1_M5	1.0
2128	P1_I1_M2	0.85
2135	P1_I1_M5	1.0
2152	P1_I1_M4	0.82
2274	P1_I1_M1	0.88
2354	P1_I1_M1	0.9
2870	P1_I1_M3	0.82
3012	P1_I1_M3	0.83
3372	P1_I1_M1	0.89
3529	P1_I1_M1	0.87
3558	P1_I1_M3	0.9
3599	P1_I1_M4	0.83
3620	P1_I1_M1	0.86
3756	P1_I1_M1	0.9
3790	P1_I1_M1	0.83
3897	P1_I1_M3	0.84
3902	P1_I1_M1	0.89
4041	P1_I1_M2	0.87
4062	P1_I1_M1	0.93
4083	P1_I1_M3	0.88
4098	P1_I1_M4	0.89
4242	P1_I1_M2	0.88
4263	P1_I1_M4	0.89
5047	P1_I1_M1	0.83
5211	P1_I1_M1	0.83
5402	P1_I1_M1	0.9
5455	P1_I1_M3	0.89
5640	P1_I1_M2	0.92
5713	P1_I1_M3	0.87
5857	P1_I1_M3	0.78
5972	P1_I1_M1	0.88
6058	P1_I1_M4	0.9
6073	P1_I1_M1	0.97
6376	P1_I1_M1	0.77
6501	P1_I1_M3	0.87
6587	P1_I1_M1	0.96
6606	P1_I1_M1	0.84
6679	P1_I1_M1	0.9
6682	P1_I1_M1	0.92
6760	P1_I1_M5	1.0
6903	P1_I1_M1	0.83
6939	P1_I1_M1	0.87
7007	P1_I1_M1	0.82
7049	P1_I1_M1	0.87
7104	P1_I1_M3	0.79
7351	P1_I1_M5	1.0
7750	P1_I1_M1	0.88
7920	P1_I1_M2	0.9
8066	P1_I1_M1	0.93
8378	P1_I1_M1	0.86
8589	P1_I1_M3	0.87
8595	P1_I1_M1	0.94
8609	P1_I1_M1	0.87
8669	P1_I1_M4	0.86
8994	P1_I1_M4	0.86
9086	P1_I1_M1	0.85
9461	P1_I1_M1	0.9
9783	P1_I1_M4	0.81
9803	P1_I1_M4	0.88
9875	P1_I1_M1	0.96
9893	P1_I1_M1	0.78
10278	P1_I1_M4	0.87
10343	P1_I1_M2	0.86
10395	P1_I1_M1	0.76
10519	P1_I1_M1	0.9
10724	P1_I1_M2	0.81
10819	P1_I1_M2	0.86
10821	P1_I1_M2	0.93
10823	P1_I1_M2	0.88
10824	P1_I1_M2	0.79
10826	P1_I1_M2	0.85
10828	P1_I1_M2	0.9
10829	P1_I1_M2	0.92
10832	P1_I1_M2	0.83
10834	P1_I1_M2	0.8
10872	P1_I1_M1	0.86
10933	P1_I1_M4	0.88
10970	P1_I1_M2	0.8
11027	P1_I1_M4	0.87
11172	P1_I1_M1	0.88
11247	P1_I1_M1	0.95
11265	P1_I1_M1	0.86
11322	P1_I1_M4	0.78
11448	P1_I1_M1	0.88
11501	P1_I1_M1	0.87
11528	P1_I1_M1	0.93
11676	P1_I1_M1	0.92
11705	P1_I1_M1	0.77
11876	P1_I1_M3	0.85
11955	P1_I1_M1	0.86
12014	P1_I1_M2	0.79
12023	P1_I1_M1	0.91
12122	P1_I1_M3	0.81
12153	P1_I1_M2	0.89
12251	P1_I1_M3	0.87
12300	P1_I1_M1	0.88
12516	P1_I1_M1	0.97
12538	P1_I1_M1	0.8
12620	P1_I1_M2	0.87
12645	P1_I1_M3	0.88
12725	P1_I1_M3	0.89
12826	P1_I1_M1	0.93
13009	P1_I1_M2	0.86
13698	P1_I1_M4	0.9
13733	P1_I1_M2	0.88
13836	P1_I1_M4	0.82
13838	P1_I1_M1	0.9
13841	P1_I1_M1	0.94
13960	P1_I1_M1	0.77
13967	P1_I1_M3	0.88
14217	P1_I1_M1	0.87
