Gene	Module	kME
0	P1_I1_M1	0.93
1	P1_I1_M1	0.97
2	P1_I1_M1	0.88
3	P1_I1_M5	0.91
4	P1_I1_M4	0.83
5	P1_I1_M1	0.97
6	P1_I1_M1	0.86
7	P1_I1_M1	0.86
8	P1_I1_M5	0.88
9	P1_I1_M3	0.8
10	P1_I1_M4	0.86
11	P1_I1_M1	0.93
12	P1_I1_M1	0.81
18	P1_I1_M3	0.81
19	P1_I1_M1	0.91
22	P1_I1_M1	0.93
23	P1_I1_M1	0.94
24	P1_I1_M1	0.95
25	P1_I1_M1	0.86
26	P1_I1_M1	0.94
30	P1_I1_M1	0.86
32	P1_I1_M1	0.83
33	P1_I1_M1	0.91
34	P1_I1_M1	0.92
36	P1_I1_M1	0.91
37	P1_I1_M1	0.88
38	P1_I1_M1	0.91
39	P1_I1_M1	0.95
40	P1_I1_M1	0.92
42	P1_I1_M1	0.94
43	P1_I1_M2	0.95
44	P1_I1_M1	0.93
46	P1_I1_M5	0.9
48	P1_I1_M1	0.96
49	P1_I1_M1	0.9
50	P1_I1_M3	0.87
52	P1_I1_M1	0.94
53	P1_I1_M1	0.92
54	P1_I1_M5	0.85
55	P1_I1_M2	0.95
56	P1_I1_M3	0.91
57	P1_I1_M1	0.95
60	P1_I1_M1	0.89
61	P1_I1_M1	0.86
62	P1_I1_M1	0.88
63	P1_I1_M1	0.95
64	P1_I1_M1	0.97
65	P1_I1_M1	0.89
66	P1_I1_M1	0.96
69	P1_I1_M1	0.95
71	P1_I1_M1	0.85
72	P1_I1_M1	0.85
73	P1_I1_M1	0.97
76	P1_I1_M1	0.91
78	P1_I1_M1	0.97
79	P1_I1_M1	0.94
80	P1_I1_M1	0.95
81	P1_I1_M5	0.82
83	P1_I1_M1	0.9
84	P1_I1_M1	0.92
85	P1_I1_M1	0.93
86	P1_I1_M1	0.95
87	P1_I1_M1	0.95
88	P1_I1_M1	0.92
90	P1_I1_M1	0.93
91	P1_I1_M1	0.93
92	P1_I1_M1	0.94
93	P1_I1_M1	0.94
94	P1_I1_M1	0.87
96	P1_I1_M1	0.9
98	P1_I1_M1	0.96
100	P1_I1_M1	0.82
101	P1_I1_M1	0.97
102	P1_I1_M1	0.92
103	P1_I1_M2	0.83
104	P1_I1_M1	0.76
105	P1_I1_M1	0.94
108	P1_I1_M5	0.91
111	P1_I1_M1	0.96
113	P1_I1_M1	0.94
114	P1_I1_M1	0.91
115	P1_I1_M3	0.95
117	P1_I1_M1	0.86
118	P1_I1_M1	0.95
119	P1_I1_M1	0.91
120	P1_I1_M1	0.95
125	P1_I1_M1	0.92
126	P1_I1_M4	0.89
127	P1_I1_M1	0.82
128	P1_I1_M3	0.84
129	P1_I1_M5	0.85
130	P1_I1_M6	0.89
131	P1_I1_M1	0.97
132	P1_I1_M1	0.95
133	P1_I1_M1	0.93
134	P1_I1_M1	0.97
135	P1_I1_M1	0.9
136	P1_I1_M1	0.88
137	P1_I1_M1	0.9
139	P1_I1_M1	0.91
140	P1_I1_M1	0.9
141	P1_I1_M1	0.95
142	P1_I1_M1	0.94
143	P1_I1_M4	0.86
144	P1_I1_M1	0.9
145	P1_I1_M3	0.87
150	P1_I1_M1	0.85
151	P1_I1_M1	0.97
152	P1_I1_M1	0.95
153	P1_I1_M1	0.96
156	P1_I1_M1	0.87
158	P1_I1_M1	0.97
160	P1_I1_M1	0.93
161	P1_I1_M2	0.85
162	P1_I1_M1	0.91
164	P1_I1_M1	0.93
165	P1_I1_M1	0.92
166	P1_I1_M2	0.95
167	P1_I1_M1	0.9
168	P1_I1_M1	0.94
169	P1_I1_M1	0.9
170	P1_I1_M1	0.94
173	P1_I1_M1	0.94
175	P1_I1_M1	0.92
176	P1_I1_M1	0.93
177	P1_I1_M5	0.93
178	P1_I1_M1	0.94
179	P1_I1_M1	0.92
180	P1_I1_M1	0.96
182	P1_I1_M5	0.87
183	P1_I1_M1	0.9
184	P1_I1_M1	0.91
186	P1_I1_M1	0.84
188	P1_I1_M1	0.85
189	P1_I1_M1	0.89
190	P1_I1_M1	0.82
191	P1_I1_M2	0.84
192	P1_I1_M2	0.88
194	P1_I1_M1	0.92
195	P1_I1_M2	0.97
196	P1_I1_M2	0.97
197	P1_I1_M4	0.86
198	P1_I1_M1	0.91
200	P1_I1_M1	0.86
201	P1_I1_M1	0.97
202	P1_I1_M1	0.96
203	P1_I1_M5	0.84
204	P1_I1_M1	0.92
207	P1_I1_M1	0.83
209	P1_I1_M1	0.85
211	P1_I1_M1	0.96
212	P1_I1_M1	0.86
213	P1_I1_M1	0.95
214	P1_I1_M1	0.91
216	P1_I1_M1	0.96
217	P1_I1_M1	0.92
220	P1_I1_M1	0.86
221	P1_I1_M1	0.74
222	P1_I1_M2	0.85
224	P1_I1_M1	0.97
225	P1_I1_M1	0.91
227	P1_I1_M1	0.93
229	P1_I1_M3	0.88
230	P1_I1_M1	0.98
232	P1_I1_M2	0.89
233	P1_I1_M1	0.94
234	P1_I1_M5	0.92
237	P1_I1_M4	0.95
238	P1_I1_M1	0.94
239	P1_I1_M1	0.92
241	P1_I1_M1	0.97
242	P1_I1_M1	0.95
243	P1_I1_M1	0.92
244	P1_I1_M1	0.91
245	P1_I1_M1	0.83
249	P1_I1_M1	0.97
250	P1_I1_M1	0.9
251	P1_I1_M1	0.88
252	P1_I1_M1	0.97
254	P1_I1_M1	0.85
256	P1_I1_M1	0.92
257	P1_I1_M1	0.91
259	P1_I1_M1	0.95
260	P1_I1_M1	0.91
261	P1_I1_M1	0.94
262	P1_I1_M1	0.92
263	P1_I1_M1	0.95
265	P1_I1_M1	0.93
266	P1_I1_M1	0.95
269	P1_I1_M1	0.96
271	P1_I1_M2	0.9
272	P1_I1_M1	0.93
273	P1_I1_M1	0.97
275	P1_I1_M1	0.88
278	P1_I1_M1	0.95
280	P1_I1_M1	0.94
282	P1_I1_M5	0.86
283	P1_I1_M1	0.86
284	P1_I1_M1	0.93
285	P1_I1_M1	0.82
286	P1_I1_M2	0.96
287	P1_I1_M1	0.86
292	P1_I1_M1	0.89
293	P1_I1_M1	0.95
295	P1_I1_M1	0.83
296	P1_I1_M1	0.97
298	P1_I1_M1	0.89
299	P1_I1_M1	0.87
300	P1_I1_M1	0.8
301	P1_I1_M1	0.95
302	P1_I1_M1	0.93
303	P1_I1_M1	0.87
304	P1_I1_M2	0.92
305	P1_I1_M1	0.89
306	P1_I1_M1	0.85
307	P1_I1_M1	0.82
308	P1_I1_M1	0.95
309	P1_I1_M1	0.97
310	P1_I1_M1	0.92
311	P1_I1_M1	0.84
312	P1_I1_M1	0.96
313	P1_I1_M1	0.97
315	P1_I1_M1	0.97
316	P1_I1_M4	0.89
317	P1_I1_M4	0.94
318	P1_I1_M1	0.94
320	P1_I1_M1	0.92
322	P1_I1_M5	0.93
323	P1_I1_M1	0.89
325	P1_I1_M1	0.91
327	P1_I1_M1	0.88
328	P1_I1_M1	0.88
330	P1_I1_M1	0.79
332	P1_I1_M1	0.91
334	P1_I1_M1	0.92
339	P1_I1_M1	0.76
340	P1_I1_M1	0.91
344	P1_I1_M1	0.85
345	P1_I1_M1	0.92
346	P1_I1_M1	0.96
347	P1_I1_M1	0.96
349	P1_I1_M1	0.96
350	P1_I1_M1	0.93
351	P1_I1_M1	0.95
352	P1_I1_M1	0.94
353	P1_I1_M1	0.86
355	P1_I1_M2	0.82
356	P1_I1_M1	0.89
357	P1_I1_M1	0.88
359	P1_I1_M1	0.94
360	P1_I1_M1	0.93
361	P1_I1_M1	0.91
362	P1_I1_M1	0.81
363	P1_I1_M1	0.86
364	P1_I1_M1	0.89
365	P1_I1_M4	0.91
366	P1_I1_M1	0.91
367	P1_I1_M1	0.9
368	P1_I1_M1	0.92
369	P1_I1_M2	0.79
370	P1_I1_M1	0.91
373	P1_I1_M1	0.8
375	P1_I1_M1	0.94
376	P1_I1_M1	0.88
377	P1_I1_M1	0.94
378	P1_I1_M1	0.88
379	P1_I1_M1	0.88
380	P1_I1_M2	0.95
