Gene	Module	kME
0	P1_I42_M1	0.93
1	P1_I42_M1	0.97
2	P1_I42_M1	0.88
3	P2_I7_M1	0.85
4	P2_I7_M3	0.84
5	P1_I42_M1	0.97
6	P1_I42_M1	0.85
7	P1_I42_M1	0.86
8	P2_I7_M1	0.87
9	UNCLASSIFIED	NA
10	UNCLASSIFIED	NA
11	P1_I42_M1	0.93
12	P2_I7_M1	0.81
13	P3_I7_M8	0.94
14	UNCLASSIFIED	NA
15	UNCLASSIFIED	NA
16	UNCLASSIFIED	NA
17	UNCLASSIFIED	NA
18	UNCLASSIFIED	NA
19	P1_I42_M1	0.91
20	UNCLASSIFIED	NA
21	P2_I7_M3	0.87
22	P1_I42_M1	0.93
23	P1_I42_M1	0.93
24	P1_I42_M1	0.95
25	P1_I42_M1	0.86
26	P1_I42_M1	0.94
27	UNCLASSIFIED	NA
28	UNCLASSIFIED	NA
29	UNCLASSIFIED	NA
30	P1_I42_M1	0.86
31	UNCLASSIFIED	NA
32	P1_I42_M1	0.83
33	P1_I42_M1	0.92
34	P1_I42_M1	0.92
35	UNCLASSIFIED	NA
36	P1_I42_M1	0.91
37	P1_I42_M1	0.88
38	P1_I42_M1	0.91
39	P1_I42_M1	0.95
40	P1_I42_M1	0.92
41	UNCLASSIFIED	NA
42	P1_I42_M1	0.94
43	P2_I7_M2	0.95
44	P1_I42_M1	0.93
45	UNCLASSIFIED	NA
46	P2_I7_M1	0.89
47	UNCLASSIFIED	NA
48	P1_I42_M1	0.96
49	P1_I42_M1	0.9
50	P2_I7_M4	0.84
51	P3_I7_M4	0.92
52	P1_I42_M1	0.93
53	P1_I42_M1	0.92
54	P4_I6_M3	0.86
55	P2_I7_M2	0.95
56	P2_I7_M4	0.91
57	P1_I42_M1	0.95
58	P3_I7_M4	0.92
59	UNCLASSIFIED	NA
60	P1_I42_M1	0.89
61	P1_I42_M1	0.86
62	P1_I42_M1	0.88
63	P1_I42_M1	0.95
64	P1_I42_M1	0.97
65	P1_I42_M1	0.89
66	P1_I42_M1	0.96
67	P2_I7_M4	0.95
68	UNCLASSIFIED	NA
69	P1_I42_M1	0.95
70	UNCLASSIFIED	NA
71	P1_I42_M1	0.84
72	P1_I42_M1	0.85
73	P1_I42_M1	0.97
74	UNCLASSIFIED	NA
75	UNCLASSIFIED	NA
76	P1_I42_M1	0.91
77	UNCLASSIFIED	NA
78	P1_I42_M1	0.97
79	P1_I42_M1	0.94
80	P1_I42_M1	0.95
81	P5_I5_M4	0.83
82	UNCLASSIFIED	NA
83	P1_I42_M1	0.9
84	P1_I42_M1	0.92
85	P1_I42_M1	0.93
86	P1_I42_M1	0.95
87	P1_I42_M1	0.95
88	P1_I42_M1	0.92
89	UNCLASSIFIED	NA
90	P1_I42_M1	0.94
91	P1_I42_M1	0.93
92	P1_I42_M1	0.94
93	P1_I42_M1	0.94
94	P1_I42_M1	0.86
95	UNCLASSIFIED	NA
96	P1_I42_M1	0.9
97	UNCLASSIFIED	NA
98	P1_I42_M1	0.96
99	UNCLASSIFIED	NA
100	P3_I7_M2	0.8
101	P1_I42_M1	0.97
102	P1_I42_M1	0.93
103	P2_I7_M2	0.83
104	P2_I7_M3	0.86
105	P1_I42_M1	0.94
106	UNCLASSIFIED	NA
107	UNCLASSIFIED	NA
108	P2_I7_M1	0.84
109	P3_I7_M6	0.91
110	UNCLASSIFIED	NA
111	P1_I42_M1	0.96
112	UNCLASSIFIED	NA
113	P1_I42_M1	0.94
114	P1_I42_M1	0.91
115	P2_I7_M4	0.97
116	UNCLASSIFIED	NA
117	P1_I42_M1	0.85
118	P1_I42_M1	0.95
119	P1_I42_M1	0.91
120	P1_I42_M1	0.95
121	UNCLASSIFIED	NA
122	UNCLASSIFIED	NA
123	UNCLASSIFIED	NA
124	UNCLASSIFIED	NA
125	P1_I42_M1	0.92
126	P2_I7_M3	0.88
127	P2_I7_M3	0.88
128	P3_I7_M7	0.93
129	P2_I7_M1	0.86
130	P3_I7_M5	0.9
131	P1_I42_M1	0.97
132	P1_I42_M1	0.95
133	P1_I42_M1	0.93
134	P1_I42_M1	0.97
135	P1_I42_M1	0.9
136	P1_I42_M1	0.88
137	P1_I42_M1	0.9
138	UNCLASSIFIED	NA
139	P1_I42_M1	0.91
140	P1_I42_M1	0.9
141	P1_I42_M1	0.95
142	P1_I42_M1	0.94
143	P3_I7_M9	0.89
144	P1_I42_M1	0.91
145	P2_I7_M4	0.86
