Gene	Module	kME
0	P1_I1_M1	0.77
4	P1_I1_M3	0.8
6	P1_I1_M1	0.95
10	P1_I1_M3	0.81
12	P1_I1_M4	0.88
17	P1_I1_M1	0.98
30	P1_I1_M2	0.84
33	P1_I1_M1	0.91
36	P1_I1_M1	0.88
37	P1_I1_M1	0.97
40	P1_I1_M2	0.88
45	P1_I1_M1	0.96
48	P1_I1_M1	0.97
49	P1_I1_M3	0.82
50	P1_I1_M5	0.9
52	P1_I1_M1	0.8
56	P1_I1_M5	0.87
57	P1_I1_M2	0.87
63	P1_I1_M3	0.74
64	P1_I1_M2	0.8
65	P1_I1_M2	0.8
66	P1_I1_M2	0.89
69	P1_I1_M2	0.83
83	P1_I1_M7	0.85
84	P1_I1_M1	0.78
87	P1_I1_M2	0.92
90	P1_I1_M1	0.79
91	P1_I1_M2	0.86
92	P1_I1_M1	0.77
94	P1_I1_M2	0.85
106	P1_I1_M1	0.97
115	P1_I1_M5	0.86
119	P1_I1_M1	0.95
127	P1_I1_M7	0.79
131	P1_I1_M3	0.81
138	P1_I1_M1	0.98
141	P1_I1_M1	0.78
143	P1_I1_M1	0.77
151	P1_I1_M3	0.83
152	P1_I1_M2	0.84
158	P1_I1_M2	0.87
160	P1_I1_M1	0.8
161	P1_I1_M6	0.81
164	P1_I1_M1	0.79
167	P1_I1_M1	0.89
168	P1_I1_M3	0.83
176	P1_I1_M1	0.78
178	P1_I1_M2	0.75
180	P1_I1_M1	0.78
184	P1_I1_M1	0.96
187	P1_I1_M1	0.78
198	P1_I1_M3	0.9
199	P1_I1_M1	0.9
200	P1_I1_M1	0.78
201	P1_I1_M2	0.75
202	P1_I1_M2	0.77
204	P1_I1_M1	0.78
213	P1_I1_M2	0.85
227	P1_I1_M3	0.82
229	P1_I1_M5	0.83
233	P1_I1_M2	0.91
237	P1_I1_M2	0.89
239	P1_I1_M1	0.91
242	P1_I1_M2	0.81
243	P1_I1_M1	0.93
244	P1_I1_M2	0.77
248	P1_I1_M1	0.96
249	P1_I1_M1	0.8
256	P1_I1_M2	0.78
257	P1_I1_M1	0.94
261	P1_I1_M2	0.8
263	P1_I1_M3	0.81
283	P1_I1_M4	0.91
292	P1_I1_M1	0.83
301	P1_I1_M3	0.8
309	P1_I1_M1	0.78
312	P1_I1_M1	0.97
317	P1_I1_M1	0.96
320	P1_I1_M3	0.79
322	P1_I1_M4	0.79
328	P1_I1_M1	0.97
332	P1_I1_M1	0.75
334	P1_I1_M3	0.85
336	P1_I1_M1	0.97
339	P1_I1_M1	0.98
349	P1_I1_M2	0.86
350	P1_I1_M1	0.76
357	P1_I1_M3	0.76
358	P1_I1_M3	0.88
362	P1_I1_M4	0.92
366	P1_I1_M2	0.83
367	P1_I1_M1	0.95
377	P1_I1_M1	0.78
378	P1_I1_M1	0.78
381	P1_I1_M3	0.84
385	P1_I1_M6	0.8
391	P1_I1_M1	0.75
392	P1_I1_M2	0.88
393	P1_I1_M2	0.88
395	P1_I1_M1	0.95
400	P1_I1_M3	0.83
408	P1_I1_M1	0.93
413	P1_I1_M1	0.99
414	P1_I1_M2	0.85
418	P1_I1_M1	0.97
420	P1_I1_M3	0.82
426	P1_I1_M1	0.77
428	P1_I1_M1	0.99
435	P1_I1_M1	0.76
438	P1_I1_M1	0.97
439	P1_I1_M1	0.78
440	P1_I1_M2	0.83
444	P1_I1_M1	0.79
449	P1_I1_M1	0.75
451	P1_I1_M7	0.84
456	P1_I1_M2	0.89
457	P1_I1_M1	0.98
459	P1_I1_M1	0.8
461	P1_I1_M1	0.75
462	P1_I1_M3	0.84
480	P1_I1_M1	0.85
483	P1_I1_M2	0.88
487	P1_I1_M2	0.9
497	P1_I1_M1	0.78
499	P1_I1_M2	0.83
