Gene	Module	kME
0	P2_I12_M1	0.91
1	UNCLASSIFIED	NA
2	UNCLASSIFIED	NA
3	UNCLASSIFIED	NA
4	P3_I7_M1	0.82
5	UNCLASSIFIED	NA
6	P1_I4_M1	0.95
7	UNCLASSIFIED	NA
8	UNCLASSIFIED	NA
9	P5_I4_M2	0.82
10	P3_I7_M1	0.87
11	UNCLASSIFIED	NA
12	P2_I12_M5	0.85
13	UNCLASSIFIED	NA
14	UNCLASSIFIED	NA
15	UNCLASSIFIED	NA
16	UNCLASSIFIED	NA
17	P1_I4_M1	0.98
18	UNCLASSIFIED	NA
19	UNCLASSIFIED	NA
20	P2_I12_M4	0.81
21	P3_I7_M5	0.84
22	UNCLASSIFIED	NA
23	UNCLASSIFIED	NA
24	P4_I7_M3	0.81
25	UNCLASSIFIED	NA
26	UNCLASSIFIED	NA
27	UNCLASSIFIED	NA
28	UNCLASSIFIED	NA
29	UNCLASSIFIED	NA
30	P2_I12_M1	0.88
31	UNCLASSIFIED	NA
32	UNCLASSIFIED	NA
33	P1_I4_M1	0.92
34	UNCLASSIFIED	NA
35	UNCLASSIFIED	NA
36	P1_I4_M1	0.88
37	P1_I4_M1	0.97
38	UNCLASSIFIED	NA
39	UNCLASSIFIED	NA
40	P3_I7_M5	0.93
41	UNCLASSIFIED	NA
42	UNCLASSIFIED	NA
43	UNCLASSIFIED	NA
44	UNCLASSIFIED	NA
45	P1_I4_M1	0.97
46	UNCLASSIFIED	NA
47	UNCLASSIFIED	NA
48	P1_I4_M1	0.97
49	P3_I7_M1	0.87
50	P3_I7_M2	0.91
51	UNCLASSIFIED	NA
52	P2_I12_M1	0.83
53	UNCLASSIFIED	NA
54	P6_I4_M2	0.88
55	UNCLASSIFIED	NA
56	P3_I7_M2	0.85
57	P2_I12_M2	0.86
58	UNCLASSIFIED	NA
59	UNCLASSIFIED	NA
60	P11_I3_M1	0.86
61	UNCLASSIFIED	NA
62	UNCLASSIFIED	NA
63	P8_I3_M3	0.85
64	UNCLASSIFIED	NA
65	P3_I7_M5	0.89
66	P2_I12_M2	0.93
67	UNCLASSIFIED	NA
68	P2_I12_M4	0.82
69	P2_I12_M1	0.88
70	UNCLASSIFIED	NA
71	UNCLASSIFIED	NA
72	UNCLASSIFIED	NA
73	UNCLASSIFIED	NA
74	UNCLASSIFIED	NA
75	P4_I7_M3	0.85
76	UNCLASSIFIED	NA
77	UNCLASSIFIED	NA
78	UNCLASSIFIED	NA
79	UNCLASSIFIED	NA
80	UNCLASSIFIED	NA
81	UNCLASSIFIED	NA
82	UNCLASSIFIED	NA
83	P4_I7_M6	0.85
84	P2_I12_M1	0.85
85	P5_I4_M5	0.87
86	UNCLASSIFIED	NA
87	P2_I12_M2	0.92
88	UNCLASSIFIED	NA
89	UNCLASSIFIED	NA
90	P5_I4_M1	0.81
91	P2_I12_M2	0.85
92	UNCLASSIFIED	NA
93	UNCLASSIFIED	NA
94	P2_I12_M2	0.83
95	UNCLASSIFIED	NA
96	UNCLASSIFIED	NA
97	UNCLASSIFIED	NA
98	P7_I3_M1	0.92
99	UNCLASSIFIED	NA
100	P2_I12_M4	0.85
101	UNCLASSIFIED	NA
102	UNCLASSIFIED	NA
103	UNCLASSIFIED	NA
104	P5_I4_M5	0.84
105	UNCLASSIFIED	NA
106	P1_I4_M1	0.97
107	UNCLASSIFIED	NA
108	UNCLASSIFIED	NA
109	UNCLASSIFIED	NA
110	UNCLASSIFIED	NA
111	P4_I7_M3	0.84
112	UNCLASSIFIED	NA
113	UNCLASSIFIED	NA
114	P5_I4_M1	0.81
115	P3_I7_M2	0.85
116	UNCLASSIFIED	NA
117	UNCLASSIFIED	NA
118	UNCLASSIFIED	NA
119	P1_I4_M1	0.96
120	UNCLASSIFIED	NA
121	UNCLASSIFIED	NA
122	UNCLASSIFIED	NA
